term	definition
horn	A large, pointed protrusion of rock that can be slung. Typically also makes a good handhold. Known in the UK as a spike. See bollard and chicken head.
ice hammer	A lightweight ice axe with a hammer and pick head on a short handle and no spike.
ice piton	A long, wide, serrated piton once used for weak protection on ice.
ice screw	A screw used to protect a climb over steep ice or for setting up a crevasse rescue system. The strongest and most reliable is the modern tubular ice screw which ranges in length from 10 to 23 centimetres (3.9 to 9.1 in).[35]
ice tool	A specialized elaboration of the modern ice axe (and often described broadly as an ice axe or technical axe), used in ice climbing, mostly for the more difficult configurations.
indoor climbing	See gym climbing.
jib	A particularly small foothold, usually only large enough for the big toe, sometimes relying heavily on friction to support weight.
jug hold	A large, easily held hold.
jumar	1.  A type of mechanical ascender.2.  To ascend a rope using a mechanical ascender.
klemheist knot	An alternative to the Prusik knot, useful when the climber is short of cord but has plenty of webbing.
knee bar	Involves camming the lower thigh or knee against a protruding section of rock, usually with the foot pushing against an opposing hold. Knee bars can be very secure and are one of a few ways to get a no-hand rest on overhanging rock. They also can provide additional hold on a climb.[16][36]
knee drop	See Egyptian.
laybacking	Climbing a vertical edge by side-pulling the edge with both hands and relying on friction or very small holds for the feet.[9]
lead climbing	A form of climbing in which the climber clips the belay rope into quickdraws or similar equipment attached to the wall by means of anchors. In traditional climbing, the climber needs to place the anchors and quickdraws; in sport climbing, the anchors are typically already in place, and the quickdraws may either be pre-placed or placed by the climber.
leader fall	A fall while lead climbing or from above the climber's last piece of protection. The falling leader will fall at least twice the distance back to their last piece, plus slack and rope stretch.
leashless	Ice climbing with axes not being attached to the wrist, such that if dropped they are gone. The trade-off is greater mobility.
leavittation	A technique used to climb off-width cracks pioneered by Randy Leavitt and Tony Yaniro. It uses alternating hand-fist stacks and leg-calf locks.
ligger	A mechanical piece of climbing equipment that can be attached to a belaying device to improve safety for the climber and stability for the belayer.
lock-off	Using tendon strength to support weight on a handhold without overly tiring muscles.
low-angle	A face climb that is less than vertical; the opposite of an overhang or roof. The same as "slab".
mantle	The external covering of a climbing rope. Climbing ropes use kernmantle construction consisting of a kern (or core) for strength and an external sheath called the mantle.
match	To use one hold for two limbs.
merkel	To retrieve another climber's gear because they are unable to or because it would be more convenient.
moat	A crevasse that forms where the glacier pulls away from a rock formation.
moving together	A method of climbing used on easy alpine ground in which two or more climbers climb at the same time with running belays between them and fixed belays not being used. Similar to simulclimbing, a technique for steeper terrain.
multi-pitch climbing	Any climbing done on routes that are too long for a single belay rope, and hence consist of multiple pitches which must be belayed separately.
munter hitch	A simple hitch that is often used for belaying without a mechanical belay device.
naturals	In a climbing gym, the natural features of the wall texture itself, i.e. those which can be climbed on but are not bolt-on holds.[37][38]
névé	Permanent granular ice formed by repeated freeze-thaw cycles.
no-hand rest	An entirely leg-supported resting position during climbing that does not require hands on the rock.
nub	A little hold that only a few fingers can grip, or the tips of the toes.
nunatak	A mountain or rock that protrudes through an ice field.
nut	A metal wedge attached to a wire loop that is inserted into cracks for protection. See hexcentric.
nut key	See cleaning tool.
objective danger	Danger in a climbing situation which comes from hazards inherent in the location of the climb, not depending on the climber's skill level. Most often these involve falling rock or ice, or avalanches.
off belay	Called out by a climber when requesting that the belayer remove belay equipment from the climbing rope (e.g. when cleaning top protection from a lead route). Replied to with "belay off".
off-width	A crack that is too wide for effective hand or foot jams but is not as large as a chimney.
on belay	What an American climber calls when they are ready to be belayed. Replied to with "belay on".
on-sight	A clean ascent made on the first attempt without prior practice or beta. For ascents on the first attempt with beta, see flash.
open book	An inside angle in the rock. See also dihedral.
overhang	A section of rock or ice that is angled beyond vertical. See roof.
orangutan	A position in which one's back is facing the wall and has a posture resembling an orangutan hanging with limbs outstretched. The orangutan is primarily used for horizontal traversal. In a left traversal, the sequence starts by threading one's right foot and right hand between the placements of one's left foot and left hand to reach the next supportive rock features. The exit sequence is symmetric.
peak-bagging	To systematically attain designated summits under prescribed conditions.
peel	To fall.
peg	A piton.
pendulum	1.  Swinging on taut rope to reach the next hold in a pendulum traverse.2.  A swing during a fall when the last piece of protection is far to one side.
personal anchor system (pas)	An adjustable attachment point from climber to anchor which allows for building anchors, cleaning routes, and rappelling to be done quickly and efficiently.
picket	A long, tubular rod driven into snow to provide a quick anchor.
pied à main	A movement where the foot is placed on the same hold as the hand.
pied à plat	A crampon technique in the French style: to climb on high-angle ice with feet flat on the ice (as opposed to front-pointing).
pied assis	A crampon technique in the French style: to rest on high-angle ice with one foot tucked under the buttocks, toes pointed straight down-slope.
pied d'elephant	A short, light sleeping bag covering the lower half of the body only. It is designed to be used in connection with a down jacket for lightweight bivvies.
pied en canard	A crampon technique in the French style: to walk on moderate-angle ice with toes pointed outward; literally, "duck-footed".
pied marche	A crampon technique in the French style: to walk on low-angle ice with toes pointed straight ahead.
picknick stop	A no-hand rest.
pinch hold	This is a hold that must be pinched to hold on. They come in various sizes.[10]
pinkpoint	To complete a lead climb without falling or resting on the rope (hangdogging), but with pre-placed protection and carabiners. See also clean and redpoint.
pitch	The portion of a climb between two belay points. A "full pitch" is the same height as the length of one's rope: 50–60 metres (160–200 ft).
piton	A flat or angled metal blade of steel which incorporates a clipping hole for a carabiner or a ring in its body. Pitons are typically used in aid climbing, where an appropriate size and shape is hammered into a thin crack in the rock and preferably removed by the last team member.
piton catcher	A clip-on string fastened to a piton when inserting or removing, so as to avoid loss.
plunge step	An aggressive step pattern for descending on hard or steep-angle snow.
pof	An alternative to climbing chalk that is made from pine resin. Popular in Fontainebleau but discouraged (or actively forbidden) everywhere else since it deposits a thick, shiny resin layer on the rock and friction can only be achieved by using more pof.
polish	On popular routes, the passage of heavy traffic can wear the rock to such an extent that it loses some of its natural friction, making climbing much more difficult. This is often most noticeable at the crux, and more common on certain rock types.
poop tube	A container for carrying out feces during multi-day climbs. The poop tube is made of PVC tubing, with a sealed end at the bottom and a screw top. It has a loop attaching screw top to the body of the tube and typically a webbing so it can be clipped below a haul bag.[39][40]
positive	A hold or part of a hold with a surface facing upwards, or away from the direction it is pulled, facilitating use. A positive hold is the opposite of a sloper.
pressure breathing	Forcefully exhaling to facilitate O2/CO2 exchange at altitude.
project	1.  A potential new route or bouldering problem that is being attempted but has not yet seen a first ascent.2.  An established route or bouldering problem that an individual is repeatedly attempting to ascend over a period of time but which has not been successfully sent by that climber. Sometimes slang in the form proj.
protection	1.  The process of setting equipment or anchors for safety.2.  Equipment or anchors used for arresting falls.
prusik	1.  A knot used for ascending a rope. It is named after Austrian mountaineer Karl Prusik, who developed this knot in 1931.2.  To use a Prusik knot for ascending a rope.
pseudo leading	To climb a wall toprope with having another rope connected to the climber, for practice of lead climbing clipping. The other rope is normally not connected to any belayer below and is only there to practice the clipping. Usually practiced while learning how to lead climb.
psychological protection	A piece of protection that everyone knows will not actually hold a fall but which makes the climber feel better about having gear beneath them.
punter	An overambitious and underprepared climber.
psyched	To be excited for climbing or a particular climb.
quickdraw	Used to attach a freely running rope to anchors or chocks.
quicklink	A screw-type oval-shape stainless steel carabiner which is smaller than a normal oval-shape biner, particularly one used for attaching to the chains of the master anchor.
rack	1.  The set of equipment carried up a climb.2.  The part of a harness (consisting of several plastic loops) where equipment is hung, ready to be used.3.  A type of descender consisting of bars mounted on a "U"-shaped chassis.
rappel	The process by which a climber descends a fixed rope using a friction device.
rb	A removable bolt, similar in concept to a sliding nut, but shaped to fit into a drilled hole.
rebolting	The replacement of bolts on an existing climb.
redpoint	Free climbing by leading after having practiced the route beforehand (either by hangdogging or top roping). See also clean and pinkpoint.
rest step	An energy-saving climbing technique where the unweighted (uphill) leg is rested between each forward step, sometimes by "locking" the knee of the rear leg.
retro-bolting	The addition of bolts to an existing climb which has already been ascended using natural protection.
rodeo clipping	To clip into the first piece of protection from the ground by swinging a loop of rope so that it is caught by a carabiner. This can only be done when the first piece of gear is already placed.
rope jumping	Jumping from objects using rock climbing equipment.
rope team	A team of mountaineers or climbers joined together by a safety rope.
rose	An extreme cross-through reach in which the crossing arm goes behind the other arm and is so far extended that the body is forced to twist until it ends up facing away from the rock. It was introduced by Antoine Le Menestrel, who used it to climb a route in Buoux, called La rose et le vampire.[42][34]
rp	A small nut, named after Roland Pauligk. Not certified for sale in Europe.
runner	1.  In the US, a sling made of nylon and nylon/blend materials, used by climbers for a multitude of purposes.2.  In the UK, any item of gear placed by the lead climber to reduce the length of a fall. Also called a running belay.
runout	1.  A long portion of a route with minimal protection.2.  A lengthy distance between two points of protection which in some, but not all, cases might be perceived as frightening or dangerous. May also be used as an adjective to describe a route or a section of a route.
rurp	A miniature, postage stamp-sized piton originally designed by Yvon Chouinard. An acronym for realized ultimate reality piton.
saddle	A high pass between two peaks, larger than a col.
sardar	Head Sherpa mountain guide.
'scend	A contraction of the word ascend, past tense 'scended. See also send.
scrambling	A type of climbing somewhere between hiking and graded rock climbing.
screamer	A nylon webbing structure consisting of one large loop sewn in multiple places to make a shorter length. The stitch-points are intentionally sewn with less than maximum possible strength. The screamer is attached with carabiners between an anchor point, particularly one of dubious strength, and the climber. In the event of a fall the stitching of the sewn sections is designed to rip apart, absorbing some of the fall energy and decelerating the climber, thereby reducing the overall shock load on the dubious anchor. Screamer is a brand name of Yates Mountaineering.
scree	Small, loose, broken rocks, often at the base of a cliff; also any area or slope covered in such rocks. Scree is distinguished from talus by its smaller size and looser configuration.
second	A climber who follows the lead, or first, climber.
self-arrest	The act of planting the pick of an ice axe into the snow to arrest a fall in the event of a slip. Also a method of stopping in a controlled glissade.
serac	A large tower of ice on the surface of a glacier.
serene	An acronym for the important points to consider when building anchors. The acronym stands for Strong, Equalised, Redundant, Efficient, No Extension. See also ERNEST.
sewing-machine leg	The involuntary vibration of one or both legs resulting from fatigue or panic. Can often be remedied by bringing the heel of the offending leg down, changing the muscles used to support the weight of the climber.
sharp end	The end of the belay rope that is attached to the lead climber. "Being on the sharp end" refers to the act of lead climbing, which is considered more psychologically demanding than top-roping or following, since it may involve more route-finding, as well as the possibility of longer, more consequential falls.
sherpa	A person of the ethnic group of the same name that is located in the Himalaya Mountains. Also a generic term for mountaineering porters in Nepal (usually those working at or above base camp), regardless of their ethnic group.
short fixing	A traditionally belayed lead climber reaches a new belay station and creates an anchor, tying the lead rope off to the anchor. The climber then switches over to self-belaying and continues to climb. Meanwhile, the second climber ascends the fixed rope using ascenders (a.k.a. "jugging") and cleans the pitch. When the second reaches the belay, they anchor in and start to belay the leader in the traditional way again. When the leader reaches the next belay the process is repeated.
side pull	A hold that needs to be gripped with a sideways pull towards the body.[9]
simul climbing	A technique in which two climbers move simultaneously upward, with the leader placing protection which the second removes as they advance. A device known as a Tibloc which allows the rope to only move in a single direction is sometimes used to prevent the second climber from accidentally pulling the lead climber off should the second slip.[43]
single-rope technique (srt)	The use of a single rope where one or both ends of the rope are attached to fixed anchor points.
sit and spin	A method of starting a rappel from a cliff edge, accomplished by sitting with legs over the edge and then spinning around to face the cliff while planting feet on the face.
skittling	Climbing without following any specific color in a gym that uses color-designated routes or problems.
skyhook	A small hook which gives hold on small protrusions on watery and slippery grips. Most often used for placements, often extremely marginal, in aid climbing, although they also feature in some extreme free routes. Additionally, a skyhook can be attached to a harness, thus allowing the climber to rest, or held in one or both hands to hold a grip.
slab climbing	A type of climbing, and its associated techniques, involved in climbing rock that is less than vertical and devoid of large or secure holds. The emphasis is on balance, footwork, and making use of very small features or rough spots on the rock for friction.
slcd	An abbreviation for spring-loaded camming device, a type of protection device. These are better known by the term cam.
smearing	To make use of friction on the sole of the climbing shoe in the absence of any useful footholds.[10]
smedging	Smearing on an edge, especially on a dime edge or any linear hold that is too small to stand on or use as an ordinary positive hold.
snarg	A type of tubular ice screw that is inserted by hammering.
snow fluke	An angled aluminium plate attached to a metal cable. The fluke is buried into snow and typically used as a deadman anchor.
soupy	A hold that is wet and slimy from water or some other source.
spinner	In indoor climbing, a hold that is not secure and spins in place when weight is applied.
spike	See horn.
static rope	A non-elastic rope. Compare dynamic rope.
steep	Descriptive of any climbing face that is angled beyond vertical. See overhang.
step cutting	Scooping steps out of snow or ice with the adze of an ice axe.
step kicking	Scooping and stamping steps out of soft snow with the feet.
sticht plate	A belay device consisting of a flat plate with a pair of slots. Named after the inventor Fritz Sticht.
stick clip	A long stick or extendable pole on the end of which a climber can affix a quickdraw. It allows the climber to clip a quickdraw to the first bolt on a sport climb while still standing on the ground. This is especially useful if the first bolt is high up and out of the climber's comfort zone. A stick clip can be bought, easily made, or even improvised when needed.
sticky rubber	Rubber with enhanced frictional properties used on the soles of climbing shoes; originally introduced in the 1980s (on Boreal's Firé shoes) but now ubiquitous.
stopper	1.  A wedge-shaped nut made by Black Diamond.2.  A knot used to prevent a rope from running through a piece of equipment.
swami belt	A kind of proto-climbing harness consisting of a long length of tubular webbing wrapped several times around the climber's body and secured with a water knot. Largely eschewed today in favor of commercial harnesses.
sweeper	The last member or the tail of a climbing group. The sweeper's task is to spot and retrieve things that may have accidentally fallen from the preceding climbers; to make sure that no mess or gear is left behind; and to make sure that the rear is keeping up with the whole team. The term sweeper, a Filipino contribution to mountaineering vocabulary, was introduced in 1998 and was inspired by the Cleaner, a character in the 1990 film Nikita.
swinging-lieback	A dynamic form of the lieback, rotating off one foot while maintaining a grip with one hand, then grabbing a high handhold at the deadpoint of the swing with the other hand. This move is frequently reversible, unlike more aerial dynos.
take	Called out by a climber when requesting that the belayer remove all slack. See hangdogging.
talus	An area of large rock fragments on a mountainside that may vary from house-sized to the size of a small backpack. The area, if older and consolidated, may be stable, or the rocks may be precariously balanced. Talus is distinguished from scree in that it is composed of larger rocks and may feature solid interlocking of the rocks, while scree is by definition loose.
teabagging	When, after a whipper or long fall, a climber falls past their belayer, who is generally lifted up off the ground.
technical climbing	Climbing involving a rope and some means of protection, particularly as opposed to scrambling or glacier travel (i.e. non-technical climbing).
technique	A specialized move given a name to help communicate to another person what to do.
tendu	From the French word meaning "outstretched". In this grip the fingers are close to the position when the hand is open. The relative angle between the finger bones is gradual. The load applied is coming from tension in the forearm muscles.
tension	A technique for maintaining balance using a taut rope through a point of protection.
testpiece	A climb that is representative of the hardest, best climbs in an area.
thread	A runner created by threading a sling around a jammed block or through a hole in the rock.
thrutching	Making progress by squeezing into a space and wriggling against opposing rock surfaces.
tie-in points	The leg straps and waist belt of a climbing harness create two loops connecting the belay loop. The points which you tie in at.
toe hook	A toe hook is securing the upper side of the toes on a hold.[10] It helps pull the body inwards, towards the wall. The toe hook is often used on overhanging rock where it helps to keep the body from swinging away from the wall.
top-out	To complete a route by ascending over the top of the structure being climbed.
tracking	See feet follow.
traditional climbing	A style of climbing that emphasizes the adventure and exploratory nature of climbing. While sport climbing generally makes use of pre-placed protection ("bolts"), traditional (or "trad") climbing involves the placement of one's own protection during the climb, which is generally carried by climbers on a rack.
training	Getting prepared to climb on difficult mountains or routes. The Hangboard Repeaters protocol is a common method of training for climbing.[44]
tramming	A technique that is typically used while lowering and cleaning gear from an overhanging and/or traversing route. A quickdraw is clipped between the climber's harness and the rope that is threaded through the gear. As the climber is lowered by the belayer, the quickdraw holds the cleaner close to the wall and following the line of the route. Without the quickdraw, the climber would lower straight down, further and further from the remaining gear to be cleaned.
tricam	A simple camming protection device that has no moving parts.
tuber	A tubular belay device.
tufa	1.  A limestone rib formation that protrudes from the wall which can sometimes fit within the pinching grasp of a climber's hand.2.  A plastic, bolted-on bouldering hold designed to replicate such a formation on an indoor climbing wall.
twin ropes	A system in which the climber uses two thin ropes instead of one thicker one, but unlike double ropes, twin ropes have to be clipped through the same carabiner for each piece of protection. Twin ropes are often used by trad and alpine climbers. They allow full pitch rappelling and help reduce the chances for accidental cutting of the rope by sharp rock edges.[26]
twist-lock	A climbing technique often used in conjunction with back-stepping, especially useful on overhanging sections. Hips are held perpendicular to the wall, feet press down in unison, and the outside arm pulls down and in towards the torso.
two-man stand	An outdated climbing technique in which one climber stands on the shoulders of another climber as an assist in climbing.
udge	A technique needed to make slow upwards progress on holdless rock, especially off-width cracks.[45]
undercling	A hold which is gripped with the palm of the hand facing upwards.[9][46][47]
"v"-grade	A technical grading system for bouldering problems, invented by John Sherman.
v-thread	A type of abseiling point used especially in winter and in ice climbing.
verglas	A thin coating of ice that forms over rocks when rainfall or melting snow freezes on rock. Hard to climb on as there is usually insufficient depth for crampons to have reliable penetration. See also clear ice and glaze ice.
wad	A good climber. The term may have originated in Sheffield.[citation needed][46]
wand	A bamboo stick with a small flag on top used to mark paths over glaciers and snow fields.
webbing	A hollow and flat nylon strip, mainly used to make slings.
webolette	A piece of webbing with eyes sewn into the ends which can be used in place of a cordelette.
weighting	Any time a rope sustains the weight of the climber, e.g. "weighting the rope". This can happen during a minor fall, a whipper (long fall), or simply by resting while hanging on the belay rope. See also hangdogging.
whipper	A lead fall from above and to the side of the last clip, whipping oneself downwards and in an arc. The term has come to denote any fall beyond the last placed or clipped piece of protection.
wires	See nuts.
wolf moon	To complete a lead climb during the nighttime.
woodie	A homemade climbing wall. Often specifically a hybrid between a climbing wall and a fingerboard. Specifically called such because of the wooden panels (usually left unpainted) used to attach the climbing holds.
x (protection rating)	A rating from the Yosemite Decimal System given to climbs that have very poor or no protection. These climbs often present risk of serious injury or death if a fall were to occur, even if the climb is properly protected.
xeno	A hold appearing to be composed of a different type of rock than the surrounding rock face.
yabo	Another name for a sit start, named after John "Yabo" Yablonski.[48]
yard up	To pull on the rope to make upward progress, often with assistance from the belayer. This may be done to bypass a crux or to quickly regain ground lost after a fall without re-climbing the section.
yosemite decimal system	A numerical system for rating the difficulty of walks, hikes, and climbs, used primarily in the United States. The rock climbing (5.x) portion of the scale is the most common grading system used in the US. The scale starts with the easiest grades at 5.0 and is open-ended on the harder end. As of September 2017[update], the most difficult grade was 5.15d.
zawn	In the UK, a deep, narrow inlet in a sea cliff which is filled by the sea at high tide.
z-clipping	Clipping into a piece of protection with the segment of rope from beneath the previous piece of protection, resulting in a potentially dangerous tangled configuration of the belay rope. If not corrected, this can result in high drag.
zipper fall	A fall in which each piece of protection fails in turn. In some cases, when the rope comes taut during a fall, the protection can fail from the bottom up, especially if the first piece was not placed to account for outward and/or upward force.
z-pulley	A particular configuration of rope, anchors, and pulleys typically used to extricate a climber after falling into a crevasse.
